ClassificationID,SourceInventoryID,TargetName,FullPath,RelativePath,Dimension,ProposedLabel,ConfidenceTier,ConfidenceReason,RequiresReview
CLS-20260802-151728,INV-20260802-141749,Downloads,/Users/eduardofgiovannini/Downloads/ELGATO/Hotkey - RIGHT (11be).streamDeckAction,ELGATO/Hotkey - RIGHT (11be).streamDeckAction,staleness,fresh,High,Modified 3d ago (< 30d).,false
CLS-20260802-151728,INV-20260802-141749,Downloads,/Users/eduardofgiovannini/Downloads/ELGATO/.DS_Store,ELGATO/.DS_Store,project-grouping,workspace:ELGATO,High,Deterministic path read: top-level folder segment under the target root.,false
CLS-20260802-151728,INV-20260802-141749,Downloads,/Users/eduardofgiovannini/Downloads/ELGATO/.DS_Store,ELGATO/.DS_Store,file-type,unclassified-type,Low,Extension '[none]' is not in the static type lookup.,true
CLS-20260802-151728,INV-20260802-141749,Downloads,/Users/eduardofgiovannini/Downloads/ELGATO/.DS_Store,ELGATO/.DS_Store,staleness,fresh,High,Modified 3d ago (< 30d).,false
CLS-20260802-151728,INV-20260802-141749,Downloads,/Users/eduardofgiovannini/Downloads/ELGATO/Open Application -           PrintFact.      (a50e).streamDeckAction,ELGATO/Open Application -           PrintFact.      (a50e).streamDeckAction,project-grouping,workspace:ELGATO,High,Deterministic path read: top-level folder segment under the target root.,false
CLS-20260802-151728,INV-20260802-141749,Downloads,/Users/eduardofgiovannini/Downloads/ELGATO/Open Application -           PrintFact.      (a50e).streamDeckAction,ELGATO/Open Application -           PrintFact.      (a50e).streamDeckAction,file-type,unclassified-type,Low,Extension 'streamDeckAction' is not in the static type lookup.,true
CLS-20260802-151728,INV-20260802-141749,Downloads,/Users/eduardofgiovannini/Downloads/ELGATO/Open Application -           PrintFact.      (a50e).streamDeckAction,ELGATO/Open Application -           PrintFact.      (a50e).streamDeckAction,staleness,fresh,High,Modified 3d ago (< 30d).,false
CLS-20260802-151728,INV-20260802-141749,Downloads,/Users/eduardofgiovannini/Downloads/ELGATO/Open Application - Spencer (b220).streamDeckAction,ELGATO/Open Application - Spencer (b220).streamDeckAction,project-grouping,workspace:ELGATO,High,Deterministic path read: top-level folder segment under the target root.,false
CLS-20260802-151728,INV-20260802-141749,Downloads,/Users/eduardofgiovannini/Downloads/ELGATO/Open Application - Spencer (b220).streamDeckAction,ELGATO/Open Application - Spencer (b220).streamDeckAction,file-type,unclassified-type,Low,Extension 'streamDeckAction' is not in the static type lookup.,true
CLS-20260802-151728,INV-20260802-141749,Downloads,/Users/eduardofgiovannini/Downloads/ELGATO/Open Application - Spencer (b220).streamDeckAction,ELGATO/Open Application - Spencer (b220).streamDeckAction,staleness,fresh,High,Modified 3d ago (< 30d).,false
